books	http://opus.nlpl.eu/Books.php	http://opus.nlpl.eu/download.php?f=Books/mono/Books.es.gz
dgt	http://opus.nlpl.eu/DGT.php	http://opus.nlpl.eu/download.php?f=DGT/mono/DGT.es.gz
dogc	http://opus.nlpl.eu/DOGC.php	http://opus.nlpl.eu/download.php?f=DOGC/mono/DOGC.es.gz
ecb	http://opus.nlpl.eu/ECB.php	http://opus.nlpl.eu/download.php?f=ECB/es.tar.gz
emea	http://opus.nlpl.eu/EMEA.php	http://opus.nlpl.eu/download.php?f=EMEA/es.tar.gz
eubookshop	http://opus.nlpl.eu/EUbookshop.php	http://opus.nlpl.eu/download.php?f=EUbookshop/mono/EUbookshop.es.gz
euconst	http://opus.nlpl.eu/EUconst.php	http://opus.nlpl.eu/download.php?f=EUconst/es.tar.gz
europarl	http://opus.nlpl.eu/Europarl.php	http://opus.nlpl.eu/download.php?f=Europarl/mono/Europarl.es.gz
gnome	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es.gz
gnome_ar	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_AR.gz
gnome_cl	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_CL.gz
gnome_co	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_CO.gz
gnome_cr	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_CR.gz
gnome_do	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_DO.gz
gnome_ec	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_EC.gz
gnome_es	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_ES.gz
gnome_gt	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_GT.gz
gnome_hn	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_HN.gz
gnome_mx	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_MX.gz
gnome_ni	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_NI.gz
gnome_pa	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_PA.gz
gnome_pe	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_PE.gz
gnome_pr	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_PR.gz
gnome_sv	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_SV.gz
gnome_uy	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_UY.gz
gnome_ve	http://opus.nlpl.eu/GNOME.php	http://opus.nlpl.eu/download.php?f=GNOME/mono/GNOME.es_VE.gz
globalvoices	http://opus.nlpl.eu/GlobalVoices.php	http://opus.nlpl.eu/download.php?f=GlobalVoices/mono/GlobalVoices.es.gz
jrcacquis	http://opus.nlpl.eu/JRC-Acquis.php	http://opus.nlpl.eu/download.php?f=JRC-Acquis/mono/JRC-Acquis.es.gz
kde4	http://opus.nlpl.eu/KDE4.php	http://opus.nlpl.eu/download.php?f=KDE4/es.tar.gz
kdedocs	http://opus.nlpl.eu/KDEdoc.php	http://opus.nlpl.eu/download.php?f=KDEdoc/es.tar.gz
multiun	http://opus.nlpl.eu/MultiUN.php	http://opus.nlpl.eu/download.php?f=MultiUN/es.tar.gz
newscommentary9	http://opus.nlpl.eu/News-Commentary.php	http://opus.nlpl.eu/download.php?f=News-Commentary/mono/News-Commentary.es.gz
newscommentary11	http://opus.nlpl.eu/News-Commentary11.php	http://opus.nlpl.eu/download.php?f=News-Commentary11/mono/News-Commentary11.es.gz
openoffice	http://opus.nlpl.eu/OpenOffice.php	http://opus.nlpl.eu/download.php?f=OpenOffice/es.tar.gz
openoffice3	http://opus.nlpl.eu/OpenOffice3.php	http://opus.nlpl.eu/download.php?f=OpenOffice3/es.tar.gz
opensubtitles	http://opus.nlpl.eu/OpenSubtitles.php	http://opus.nlpl.eu/download.php?f=OpenSubtitles/es.tar.gz
opensubtitles2016	http://opus.nlpl.eu/OpenSubtitles2016.php	http://opus.nlpl.eu/download.php?f=OpenSubtitles2016/mono/OpenSubtitles2016.es.gz
opensubtitles2018	http://opus.nlpl.eu/OpenSubtitles2018.php	http://opus.nlpl.eu/download.php?f=OpenSubtitles2018/mono/OpenSubtitles2018.es.gz
php	http://opus.nlpl.eu/PHP.php	http://opus.nlpl.eu/download.php?f=PHP/es.tar.gz
tatoeba	http://opus.nlpl.eu/Tatoeba.php	http://opus.nlpl.eu/download.php?f=Tatoeba/mono/Tatoeba.es.gz
ted2013	http://opus.nlpl.eu/TED2013.php	http://opus.nlpl.eu/download.php?f=TED2013/mono/TED2013.es.gz
tanzil	http://opus.nlpl.eu/Tanzil.php	http://opus.nlpl.eu/download.php?f=Tanzil/mono/Tanzil.es.gz
ubuntu	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es.gz
ubuntu_ar	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_AR.gz
ubuntu_cl	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_CL.gz
ubuntu_co	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_CO.gz
ubuntu_cr	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_CR.gz
ubuntu_do	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_DO.gz
ubuntu_ec	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_EC.gz
ubuntu_es	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_ES.gz
ubuntu_gt	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_GT.gz
ubuntu_hn	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_HN.gz
ubuntu_mx	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_MX.gz
ubuntu_ni	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_NI.gz
ubuntu_pa	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_PA.gz
ubuntu_pe	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_PE.gz
ubuntu_pr	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_PR.gz
ubuntu_sv	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_SV.gz
ubuntu_uy	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_UY.gz
ubuntu_ve	http://opus.nlpl.eu/Ubuntu.php	http://opus.nlpl.eu/download.php?f=Ubuntu/mono/Ubuntu.es_VE.gz
un	http://opus.nlpl.eu/UN.php	http://opus.nlpl.eu/download.php?f=UN/es.tar.gz
wikipedia	https://dumps.wikimedia.org/eswiki/20181201/	https://dumps.wikimedia.org/eswiki/20181201/eswiki-20181201-pages-articles-multistream.xml.bz2
wikisource	https://dumps.wikimedia.org/eswikisource/20181201/	https://dumps.wikimedia.org/eswikisource/20181201/eswikisource-20181201-pages-articles-multistream.xml.bz2
wikibooks	https://dumps.wikimedia.org/eswikibooks/20181201/	https://dumps.wikimedia.org/eswikibooks/20181201/eswikibooks-20181201-pages-articles-multistream.xml.bz2
wikinews	https://dumps.wikimedia.org/eswikinews/20181201/	https://dumps.wikimedia.org/eswikinews/20181201/eswikinews-20181201-pages-articles-multistream.xml.bz2
wikiquote	https://dumps.wikimedia.org/eswikiquote/20181201/	https://dumps.wikimedia.org/eswikiquote/20181201/eswikiquote-20181201-pages-articles-multistream.xml.bz2
wikiversity	https://dumps.wikimedia.org/eswikiversity/20181201/	https://dumps.wikimedia.org/eswikiversity/20181201/eswikiversity-20181201-pages-articles-multistream.xml.bz2
wikivoyage	https://dumps.wikimedia.org/eswikivoyage/20181201/	https://dumps.wikimedia.org/eswikivoyage/20181201/eswikivoyage-20181201-pages-articles-multistream.xml.bz2
wmt	http://opus.nlpl.eu/WMT-News.php	http://opus.nlpl.eu/download.php?f=WMT-News/mono/WMT-News.es.gz
